mes,area,subarea,tema,programadas,ejecutadas,trabajadores_convocados,trabajadores_capacitados,trabajadores_aprobados,horas_dictadas
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,"IPERC, actos y condiciones subestándar",2,1,26,24,22,1.7
Enero,CORPORATIVO,ALMACEN,Protección auditiva,3,3,28,26,24,2.6
Enero,HONDA AUTOS,OPERACIONES,Procedimiento frente a incidentes y accidentes,3,3,47,35,29,1.9
Enero,CORPORATIVO,MARKETING,Uso correcto de EPP,3,3,17,15,14,1.6
Enero,HONDA AUTOS,POSVENTA,Protección auditiva,3,3,57,44,40,2.8
Febrero,HONDA AUTOS,POSVENTA,Uso correcto de EPP,2,2,67,54,51,1.6
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,Manejo manual de cargas e higiene postural,1,0,20,15,12,1.5
Febrero,GENERAL,GENERAL,Riesgos químicos,2,1,36,26,21,1.6
Febrero,HONDA AUTOS,OPERACIONES,"IPERC, actos y condiciones subestándar",3,3,57,51,42,2.2
Febrero,CORPORATIVO,ALMACEN,Protección auditiva,3,2,20,14,13,1.3
Marzo,HONDA MOTOS,HONDA MOTOS,"IPERC, actos y condiciones subestándar",3,2,16,12,10,2.0
Marzo,HONDA AUTOS,OPERACIONES,Ergonomía y pausas activas,1,1,64,57,49,1.2
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,Ergonomía y pausas activas,3,3,34,27,24,2.9
Marzo,HONDA AUTOS,VENTAS,Protección auditiva,3,3,31,22,18,1.8
Marzo,CORPORATIVO,ALMACEN,"IPERC, actos y condiciones subestándar",1,1,40,36,31,1.4
Abril,HONDA AUTOS,POSVENTA,Protección auditiva,1,1,72,65,63,2.5
Abril,HONDA AUTOS,OPERACIONES,Primeros auxilios,1,0,41,38,34,2.5
Abril,CORPORATIVO,ALMACEN,Cuidado de manos,3,3,40,33,28,1.3
Abril,HONDA MOTOS,HONDA MOTOS,Manejo manual de cargas e higiene postural,2,1,16,13,10,1.5
Abril,CORPORATIVO,MARKETING,Manejo manual de cargas e higiene postural,3,3,20,19,18,1.1
Mayo,HONDA MOTOS,HONDA MOTOS,Manejo manual de cargas e higiene postural,3,2,39,29,24,1.1
Mayo,HONDA CORPORATIVO,HONDA CORPORATIVO,Riesgos químicos,2,1,37,29,28,2.8
Mayo,HONDA AUTOS,POSVENTA,"IPERC, actos y condiciones subestándar",2,2,95,88,78,2.3
Mayo,HONDA AUTOS,OPERACIONES,Protección auditiva,2,2,25,18,16,1.5
Mayo,CORPORATIVO,ALMACEN,Riesgos químicos,3,3,30,24,23,1.5
Junio,HONDA CORPORATIVO,HONDA CORPORATIVO,Primeros auxilios,3,3,26,20,19,2.8
Junio,CORPORATIVO,MARKETING,Procedimiento frente a incidentes y accidentes,1,1,15,11,10,2.9
Junio,HONDA MOTOS,HONDA MOTOS,"IPERC, actos y condiciones subestándar",2,2,20,18,15,2.7
Junio,HONDA AUTOS,POSVENTA,Procedimiento frente a incidentes y accidentes,3,3,53,40,37,2.2
Junio,GENERAL,GENERAL,Procedimiento frente a incidentes y accidentes,1,1,20,18,17,1.9
Julio,HONDA AUTOS,OPERACIONES,Manejo manual de cargas e higiene postural,2,1,34,33,26,2.5
