mes,area,subarea,n_trabajadores,horas_hombre
Enero,HONDA AUTOS,VENTAS,78,15132
Enero,HONDA AUTOS,POSVENTA,96,18048
Enero,HONDA AUTOS,OPERACIONES,64,12544
Enero,HONDA MOTOS,HONDA MOTOS,42,7770
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7068
Enero,CORPORATIVO,MARKETING,22,4114
Enero,CORPORATIVO,ALMACEN,47,9165
Enero,GENERAL,GENERAL,37,6845
Febrero,HONDA AUTOS,VENTAS,78,15600
Febrero,HONDA AUTOS,POSVENTA,96,18240
Febrero,HONDA AUTOS,OPERACIONES,64,11840
Febrero,HONDA MOTOS,HONDA MOTOS,42,7812
Febrero,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7486
Febrero,CORPORATIVO,MARKETING,22,4334
Febrero,CORPORATIVO,ALMACEN,47,8742
Febrero,GENERAL,GENERAL,37,7067
Marzo,HONDA AUTOS,VENTAS,78,14508
Marzo,HONDA AUTOS,POSVENTA,96,18912
Marzo,HONDA AUTOS,OPERACIONES,64,11840
Marzo,HONDA MOTOS,HONDA MOTOS,42,7854
Marzo,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7258
Marzo,CORPORATIVO,MARKETING,22,4070
Marzo,CORPORATIVO,ALMACEN,47,9212
Marzo,GENERAL,GENERAL,37,6845
Abril,HONDA AUTOS,VENTAS,78,14898
Abril,HONDA AUTOS,POSVENTA,96,17760
Abril,HONDA AUTOS,OPERACIONES,64,12032
Abril,HONDA MOTOS,HONDA MOTOS,42,8106
Abril,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7486
Abril,CORPORATIVO,MARKETING,22,4136
Abril,CORPORATIVO,ALMACEN,47,8789
Abril,GENERAL,GENERAL,37,7141
Mayo,HONDA AUTOS,VENTAS,78,14742
Mayo,HONDA AUTOS,POSVENTA,96,17952
Mayo,HONDA AUTOS,OPERACIONES,64,12160
Mayo,HONDA MOTOS,HONDA MOTOS,42,8190
Mayo,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7106
Mayo,CORPORATIVO,MARKETING,22,4092
Mayo,CORPORATIVO,ALMACEN,47,8695
Mayo,GENERAL,GENERAL,37,7030
Junio,HONDA AUTOS,VENTAS,78,15522
Junio,HONDA AUTOS,POSVENTA,96,18912
Junio,HONDA AUTOS,OPERACIONES,64,12416
Junio,HONDA MOTOS,HONDA MOTOS,42,8316
Junio,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7524
Junio,CORPORATIVO,MARKETING,22,4290
Junio,CORPORATIVO,ALMACEN,47,9071
Junio,GENERAL,GENERAL,37,7067
Julio,HONDA AUTOS,VENTAS,78,14742
Julio,HONDA AUTOS,POSVENTA,96,18336
Julio,HONDA AUTOS,OPERACIONES,64,11904
Julio,HONDA MOTOS,HONDA MOTOS,42,8106
Julio,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7600
Julio,CORPORATIVO,MARKETING,22,4378
Julio,CORPORATIVO,ALMACEN,47,9118
Julio,GENERAL,GENERAL,37,7326
Agosto,HONDA AUTOS,VENTAS,78,15054
Agosto,HONDA AUTOS,POSVENTA,96,17856
Agosto,HONDA AUTOS,OPERACIONES,64,11968
Agosto,HONDA MOTOS,HONDA MOTOS,42,8400
Agosto,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7486
Agosto,CORPORATIVO,MARKETING,22,4158
Agosto,CORPORATIVO,ALMACEN,47,9118
Agosto,GENERAL,GENERAL,37,6956
Setiembre,HONDA AUTOS,VENTAS,78,15522
Setiembre,HONDA AUTOS,POSVENTA,96,18912
Setiembre,HONDA AUTOS,OPERACIONES,64,11840
Setiembre,HONDA MOTOS,HONDA MOTOS,42,7812
Setiembre,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7372
Setiembre,CORPORATIVO,MARKETING,22,4268
Setiembre,CORPORATIVO,ALMACEN,47,9165
Setiembre,GENERAL,GENERAL,37,7363
Octubre,HONDA AUTOS,VENTAS,78,15444
Octubre,HONDA AUTOS,POSVENTA,96,17856
Octubre,HONDA AUTOS,OPERACIONES,64,11904
Octubre,HONDA MOTOS,HONDA MOTOS,42,8064
Octubre,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7562
Octubre,CORPORATIVO,MARKETING,22,4092
Octubre,CORPORATIVO,ALMACEN,47,8695
Octubre,GENERAL,GENERAL,37,7141
Noviembre,HONDA AUTOS,VENTAS,78,15444
Noviembre,HONDA AUTOS,POSVENTA,96,18528
Noviembre,HONDA AUTOS,OPERACIONES,64,12544
Noviembre,HONDA MOTOS,HONDA MOTOS,42,8190
Noviembre,HONDA CORPORATIVO,HONDA CORPORATIVO,38,6992
Noviembre,CORPORATIVO,MARKETING,22,4356
Noviembre,CORPORATIVO,ALMACEN,47,9165
Noviembre,GENERAL,GENERAL,37,6993
Diciembre,HONDA AUTOS,VENTAS,78,14586
Diciembre,HONDA AUTOS,POSVENTA,96,19104
Diciembre,HONDA AUTOS,OPERACIONES,64,11840
Diciembre,HONDA MOTOS,HONDA MOTOS,42,7980
Diciembre,HONDA CORPORATIVO,HONDA CORPORATIVO,38,7334
Diciembre,CORPORATIVO,MARKETING,22,4136
Diciembre,CORPORATIVO,ALMACEN,47,8977
Diciembre,GENERAL,GENERAL,37,7252
