mes,area,actividad,programado,ejecutado,responsable
Enero,HONDA AUTOS,Visita de gerencia a instalaciones (SST),1,0,Jefatura de área
Enero,HONDA AUTOS,Participación de jefaturas en inspecciones,2,1,Jefatura de área
Enero,HONDA AUTOS,Charla de seguridad dictada por supervisor,3,3,Gerencia
Enero,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,3,2,Jefatura de área
Enero,HONDA MOTOS,Visita de gerencia a instalaciones (SST),3,2,Jefatura de área
Enero,HONDA MOTOS,Participación de jefaturas en inspecciones,2,2,Gerencia
Enero,HONDA MOTOS,Charla de seguridad dictada por supervisor,2,1,Jefatura de área
Enero,HONDA MOTOS,Reunión mensual de seguridad con la línea de mando,1,1,Supervisor
Enero,HONDA CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Enero,HONDA CORPORATIVO,Participación de jefaturas en inspecciones,3,3,Supervisor
Enero,HONDA CORPORATIVO,Charla de seguridad dictada por supervisor,2,2,Jefatura de área
Enero,HONDA CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Gerencia
Enero,CORPORATIVO,Visita de gerencia a instalaciones (SST),1,1,Supervisor
Enero,CORPORATIVO,Participación de jefaturas en inspecciones,1,1,Jefatura de área
Enero,CORPORATIVO,Charla de seguridad dictada por supervisor,1,1,Supervisor
Enero,CORPORATIVO,Reunión mensual de seguridad con la línea de mando,2,2,Supervisor
Enero,GENERAL,Visita de gerencia a instalaciones (SST),1,1,Jefatura de área
Enero,GENERAL,Participación de jefaturas en inspecciones,1,0,Supervisor
Enero,GENERAL,Charla de seguridad dictada por supervisor,1,0,Gerencia
Enero,GENERAL,Reunión mensual de seguridad con la línea de mando,3,3,Jefatura de área
Febrero,HONDA AUTOS,Visita de gerencia a instalaciones (SST),2,2,Supervisor
Febrero,HONDA AUTOS,Participación de jefaturas en inspecciones,1,1,Supervisor
Febrero,HONDA AUTOS,Charla de seguridad dictada por supervisor,2,2,Gerencia
Febrero,HONDA AUTOS,Reunión mensual de seguridad con la línea de mando,2,1,Jefatura de área
Febrero,HONDA MOTOS,Visita de gerencia a instalaciones (SST),3,3,Supervisor
