mes,area,subarea,tipo_programa,actividad,programado,ejecutado,responsable
Enero,GENERAL,GENERAL,Inspecciones,Inspección planeada de taller,1,1,Supervisor de área
Enero,CORPORATIVO,ALMACEN,Inspecciones,Inspección planeada de taller,3,3,Jefe de SST
Enero,HONDA AUTOS,VENTAS,Inspecciones,Inspección planeada de taller,4,3,Jefe de SST
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Inspecciones,Inspección planeada de taller,1,0,CSST
Enero,HONDA MOTOS,HONDA MOTOS,Inspecciones,Inspección de equipos de emergencia,4,3,Supervisor de área
Enero,CORPORATIVO,MARKETING,Inspecciones,Inspección de equipos de emergencia,3,2,Supervisor de área
Enero,HONDA AUTOS,OPERACIONES,Inspecciones,Inspección de equipos de emergencia,4,4,Médico ocupacional
Enero,GENERAL,GENERAL,Inspecciones,Inspección de equipos de emergencia,1,0,Médico ocupacional
Enero,CORPORATIVO,MARKETING,Inspecciones,Inspección preoperacional de montacargas,4,4,Supervisor de área
Enero,HONDA AUTOS,VENTAS,Inspecciones,Inspección preoperacional de montacargas,3,3,Supervisor de área
Enero,GENERAL,GENERAL,Inspecciones,Inspección preoperacional de montacargas,3,3,CSST
Enero,HONDA AUTOS,POSVENTA,Inspecciones,Inspección preoperacional de montacargas,2,1,Supervisor de área
Enero,HONDA AUTOS,POSVENTA,Capacitación,Ejecución del programa anual de capacitación,2,2,Médico ocupacional
Enero,HONDA MOTOS,HONDA MOTOS,Capacitación,Ejecución del programa anual de capacitación,4,4,Médico ocupacional
Enero,CORPORATIVO,ALMACEN,Capacitación,Ejecución del programa anual de capacitación,2,2,CSST
Enero,GENERAL,GENERAL,Capacitación,Ejecución del programa anual de capacitación,1,0,CSST
Enero,HONDA AUTOS,VENTAS,Simulacros,Simulacro de sismo,4,2,Jefe de SST
Enero,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de sismo,4,4,CSST
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de sismo,1,1,Supervisor de área
Enero,HONDA MOTOS,HONDA MOTOS,Simulacros,Simulacro de sismo,1,1,CSST
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Simulacros,Simulacro de incendio en taller,2,1,CSST
Enero,HONDA AUTOS,VENTAS,Simulacros,Simulacro de incendio en taller,4,4,Médico ocupacional
Enero,HONDA AUTOS,POSVENTA,Simulacros,Simulacro de incendio en taller,3,3,CSST
Enero,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de incendio en taller,1,0,Supervisor de área
Enero,CORPORATIVO,ALMACEN,Simulacros,Simulacro de derrame de sustancias peligrosas,1,1,Jefe de SST
Enero,HONDA AUTOS,VENTAS,Simulacros,Simulacro de derrame de sustancias peligrosas,2,2,CSST
Enero,HONDA AUTOS,OPERACIONES,Simulacros,Simulacro de derrame de sustancias peligrosas,1,0,Jefe de SST
Enero,GENERAL,GENERAL,Simulacros,Simulacro de derrame de sustancias peligrosas,3,2,Médico ocupacional
Enero,HONDA CORPORATIVO,HONDA CORPORATIVO,Salud ocupacional,Exámenes médicos ocupacionales,2,2,Supervisor de área
Enero,GENERAL,GENERAL,Salud ocupacional,Exámenes médicos ocupacionales,3,3,Supervisor de área
Enero,HONDA AUTOS,POSVENTA,Salud ocupacional,Exámenes médicos ocupacionales,2,2,CSST
Enero,HONDA AUTOS,VENTAS,Salud ocupacional,Exámenes médicos ocupacionales,2,2,Médico ocupacional
Enero,HONDA AUTOS,OPERACIONES,Salud ocupacional,Campaña de pausas activas,3,3,Jefe de SST
Enero,GENERAL,GENERAL,Salud ocupacional,Campaña de pausas activas,1,0,Supervisor de área
Enero,CORPORATIVO,ALMACEN,Salud ocupacional,Campaña de pausas activas,4,4,Médico ocupacional
Enero,HONDA AUTOS,VENTAS,Salud ocupacional,Campaña de pausas activas,1,0,Médico ocupacional
